Date,Open,High,Low,Close
2017-09-07,1035.3,1044.5,1035,1037
2017-09-08,1038.8,1043.9,1031.6,1031.6
2017-09-11,1038.1,1047.9,1038.1,1041.6
2017-09-12,1045,1048.9,1041.7,1045
2017-09-13,1049,1051,1041.6,1042.3
2017-09-14,1049.7,1064.2,1044.5,1064.2
2017-09-15,1048.6,1075.3,1047.6,1074.2
2017-09-18,1077.4,1090.6,1077.4,1083.2
2017-09-19,1085.1,1089.2,1074.8,1082.9
2017-09-20,1086,1095.9,1073,1073
2017-09-21,1078.3,1081.4,1059.1,1065.6
2017-09-22,1064,1068,1054,1054.1
2017-09-25,1056,1069.9,1053.1,1062.7
2017-09-26,1057,1070.2,1056.2,1065
2017-09-27,1066.8,1078,1065.3,1078
2017-09-28,1078.8,1080,1066.7,1068
2017-09-29,1071,1073.3,1064.1,1072.5
2017-10-10,1082.1,1085.9,1078,1081.9
2017-10-11,1081.6,1095,1081.6,1095
2017-10-12,1095.1,1103.3,1092,1098.5
2017-10-13,1100.6,1127,1096.1,1101.9
2017-10-16,1140,1140,1094.6,1112.7
2017-10-17,1113,1146.9,1111.2,1143
2017-10-18,1149.9,1163.8,1141.1,1141.3
2017-10-19,1148.7,1152.5,1131.9,1133.6
2017-10-20,1133.7,1151.9,1131.7,1151.2
2017-10-23,1150.9,1161.4,1150.8,1157.5
2017-10-24,1157.5,1191.9,1156.4,1189
2017-10-25,1189.9,1190.8,1178.5,1187.9
2017-10-26,1188.1,1189.9,1162.6,1165.2
2017-10-27,1168.9,1194,1162.8,1190.3
2017-10-30,1191.3,1193.8,1184.5,1192.7
2017-10-31,1192.7,1198.5,1187.7,1198.5
2017-11-01,1200.1,1203.1,1195.8,1198.2
2017-11-02,1198.5,1207.3,1188.7,1198.4
2017-11-03,1204.1,1221.5,1203.1,1221.5
2017-11-06,1221,1227.6,1212.8,1221
2017-11-07,1223.5,1226.5,1205.5,1216.6
2017-11-08,1215.8,1239.5,1213.9,1239.5
2017-11-09,1239,1241.8,1222.6,1234
2017-11-10,1233.6,1256,1229.4,1256
2017-11-13,1256.7,1308.9,1256,1304.9
2017-11-14,1309.3,1356,1309,1356
2017-11-15,1359,1407.1,1352,1403.4
2017-11-16,1407.5,1428,1361.6,1416.9
2017-11-17,1408.1,1411,1388,1397
2017-11-20,1398.2,1439.9,1394.6,1439.9
2017-11-21,1440.8,1452.2,1423,1430.3
2017-11-22,1440,1443.6,1394.8,1398.5
2017-11-23,1388.8,1441.4,1370,1440.6
2017-11-24,1435,1445.2,1401.5,1401.5
2017-11-27,1400,1421.7,1386.5,1405.5
2017-11-28,1411.1,1415.4,1351.5,1351.5
2017-11-29,1353.4,1376.5,1345,1371.2
2017-11-30,1370.1,1374.9,1345.5,1352
2017-12-01,1363.3,1396,1363.2,1392
2017-12-04,1387.4,1396.8,1368.8,1377
2017-12-05,1376.9,1377.5,1342,1345.4
2017-12-06,1352.1,1367,1318.7,1327.4
2017-12-07,1334.9,1337.3,1282.7,1300.8
2017-12-08,1300.7,1314.1,1285,1285.4
2017-12-11,1289.7,1335.8,1288.8,1335.8
2017-12-12,1336.3,1341.9,1304.9,1319.2
2017-12-13,1321.1,1345.9,1316.8,1331
2017-12-14,1340,1346,1309,1314
2017-12-15,1319,1337.8,1308.7,1327.5
2017-12-18,1336,1336,1309.5,1309.5
2017-12-19,1308.5,1315.6,1280.3,1314
2017-12-20,1307.4,1312.9,1289.9,1290
2017-12-21,1282.8,1301.1,1265,1265
2017-12-22,1268.2,1326.3,1265.8,1322
2017-12-26,1326.5,1369.2,1326.5,1340.8
2017-12-27,1355,1410.6,1355,1410.6
2017-12-28,1408.5,1425.4,1397,1414.2
2018-01-02,1421.3,1448,1417.3,1438.2
2018-01-03,1449,1471.4,1441.4,1467.2
2018-01-04,1472,1472.5,1411.7,1423.7
2018-01-05,1425.2,1481.2,1425.2,1480.3
2018-01-08,1485,1520.6,1481.2,1513.6
2018-01-09,1514.2,1525.8,1487.5,1493
2018-01-10,1503,1515,1466.3,1507.8
2018-01-11,1503,1570.8,1493.1,1560.1
2018-01-12,1572.8,1684.9,1572.7,1641
2018-01-15,1652,1691.8,1612.3,1686.5
2018-01-16,1679,1713.9,1662.4,1703.1
2018-01-17,1703.5,1716.6,1651.2,1652.4
2018-01-18,1661.2,1682.5,1649.4,1679.6
2018-01-19,1685,1685.6,1595,1612
2018-01-22,1599.2,1612.9,1565,1592
2018-01-23,1611.6,1663.9,1602.3,1663.8
2018-01-24,1673,1674,1632.5,1634.8
2018-01-25,1633.5,1640.9,1611.2,1631.7
2018-01-26,1634.3,1668.3,1623.2,1668.3
2018-01-29,1665.1,1711.7,1662,1704.2
2018-01-30,1709.4,1718.7,1685.2,1687
2018-01-31,1659.7,1684.6,1650.3,1661.5
2018-02-01,1665.5,1682.9,1626,1626
2018-02-02,1636,1644.3,1595.5,1634
2018-02-05,1583,1599.9,1530.8,1530.8
2018-02-06,1471.2,1562,1459.1,1555.1
2018-02-07,1585,1585.4,1474,1474
2018-02-08,1479.3,1582.8,1459.3,1542
2018-02-09,1492,1534.8,1480,1506
2018-02-12,1531.3,1536.2,1504.5,1508
2018-02-13,1524.9,1529.2,1455,1455
2018-02-14,1477,1522.4,1463.9,1519.9
2018-02-19,1533.4,1583.9,1529,1581.6
2018-02-20,1581.6,1581.9,1535.5,1548.7
2018-02-21,1550.5,1582.6,1542.6,1575
2018-02-22,1560,1564.9,1539.7,1551
2018-02-23,1569.1,1576,1560.2,1570.5
2018-02-26,1585,1595.8,1560.3,1576.9
2018-02-27,1590.1,1594,1568.3,1570.7
2018-02-28,1553,1559.8,1525,1537
2018-03-02,1513.1,1550.4,1510.9,1550.4
2018-03-05,1550,1551.6,1514,1514
2018-03-06,1536.8,1557.9,1534.6,1557.9
2018-03-07,1544,1563.3,1511,1515
2018-03-08,1526.7,1548.6,1522.9,1543.3
2018-03-09,1552.9,1576,1547.5,1567
2018-03-12,1582.8,1615.3,1577.7,1615.3
2018-03-13,1610.2,1612.9,1595.2,1605.9
2018-03-14,1599.1,1610,1592.6,1603.8
2018-03-15,1604.7,1626.1,1601.6,1613.7
2018-03-16,1615.8,1621.2,1609.1,1619.1
2018-03-19,1607.2,1616.2,1578,1578
2018-03-20,1565,1618.1,1563.6,1616
2018-03-21,1618,1630.2,1600,1600.2
2018-03-22,1609.8,1621.3,1563.2,1563.2
2018-03-23,1519.2,1540.8,1464.3,1465
2018-03-26,1472.1,1543,1462.2,1543
2018-03-27,1547,1548,1527.3,1535
2018-03-28,1500.2,1529.9,1491.5,1525
2018-03-29,1525,1561.8,1518.5,1554
2018-03-30,1552.4,1564.2,1549.2,1554.3
2018-04-02,1565.4,1565.4,1538.6,1539.4
2018-04-03,1525,1558.9,1520,1558.9
2018-04-04,1561.5,1564.3,1530.5,1539.3
2018-04-05,1558.9,1567.4,1543.4,1561
2018-04-06,1549.9,1559.3,1537.9,1559.3
